Case Number,Date,Year,Sex,Type,Species,Country,Area,Location,Activity,Age,Fatal (Y/N),Time,Month
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
,,,,,Unknown,,Unspecified,,,,Unknown,Unspecified,Unk
